;Suomenkieliset;Ruotsinkieliset;Muun kieliset;Ulkomaalaiset;Ulkomaalaistaustaiset;H:gissä syntyneitä;Syntyneet lkm;Kuolleet lkm;Muutto alueelle lkm;Muutto alueelta lkm;Asukkaita/km2;Työpaikkoja/km2;Kerrosala/ha;Asukkaat yht;0-6-vuotiaat;7-15-vuotiaat;16-18-vuotiaat;19-24-vuotiaat;25-39-vuotiaat;40-64-vuotiaat;Yli 65-vuotiaat;Asuntokuntien lkm;Asuntokuntien keskikoko;1-hengen asuntokuntia;Perheiden lkm;Lapsiperheiden lkm;Perheiden keskikoko;15v täyttäneiden lkm;Enintään perusaste;Keskiaste;Alempi korkea-aste;Ylempi korkea-aste;Lukiota käyvät;Lukiota käyvien osuus 16-18-vuotiaista;Tulot/asukaseuroa;Tulot/yli 15-vuotiaat euroa;Tulot/asuntokunta euroa;Asuntojen keskikoko m2;Asumisväljyys m2/asukas;Asumistiheys huonetta/henki;Asuntoja yhteensä;Pientaloasuntoja;Vuokra-asuntoja;ARA-vuokra-asuntoja;Toimitilarakennukset yhteensä kerrosala 1000 m2;Liikerakennukset;Julkiset rakennukset;Teollisuusrakennukset;Muut rakennukset;Päiväkoteja;Lapsia päiväkotihoidossa yhteensä;Kokopäivähoidossa;Kokopäivähoidossa/100 lasta;Osapäivähoidossa;Osapäivähoidossa/100 lasta;Lapsia kokopäivä perhepäivähoidossa yht;Kokopäivä perhepäivähoidossa/100 lasta;Lapsia koti/yks.hoidon tuen piirissä;Suomenkielinen ala-aste koulut;Suomenkielinen ala-asteoppilaat;Suomenkielinen yläaste koulut;Suomenkielinen yläasteoppilaat;Ruotsinkielinen ala-aste koulut;Ruotsinkielinen ala-aste oppilaat;Ruotsinkielinen yläaste koulut;Ruotsinkielinen yläaste oppilaat;Lukio koulut;Lukio oppilaat;Erikoiskoulut;Erikoiskoulut oppilaat;Avohoitokäynnit yhteensä;Avohoitokäynnit yhteensä/asukas;Perusterveydenhuolto;Perusterveydenhuolto/asukas;Erikoissairaanhoito;Erikoissairaanhoito/asukas;Toimeentulotuen saajia;Toimeentulotuen saajia/1000 asukasta;Lastensuojelun asiakkaat;Lastensuojelun asiakkaita/1000 ;Kirjasto;Terveysasema;Leikkipuisto;Uimahalli;Muu sisäliikuntatila;Urheilukenttä;Kirkko;Posti;KELA:n toimisto;Apteekki;Alko;Päivittäistavarakaupat;Muut vähittäiskaupat;Ravintolat ja kahvilat;Puistoa ha;Metsää ha;Uimaranta kpl;Jalankulkuonnettomuuksia keskimäärin/vuosi;Työttömyysaste;Pitäaikaistyöttömyys;Nuorisotyöttömyys;Työllisyysaste
205;22555;1005;3365;2408;3371;11378;332;151;3210;3404;2846;617;1507;26925;1893;2443;1028;3045;5887;9692;2937;13277;2.02;5521;7139;3815;2.7;22786;7737;8323;4356;2370;590;54;21388;25662;43283;65.1;32.3;1.29;13899;2755;7076;5079;272;73;107;76;17;13;909;858;54.6;51;3.2;104;6.6;477;4;1128;2;476;1;53;0;0;2;363;1;507;217156;8.1;173869;6.5;43287;1.6;2835;105.3;514;102.2;2;2;4;0;25;0;1;2;0;1;1;20;39;22;95;167;0;3;8.6;12.5;5.1;69.6
301;22887;921;1798;1415;2142;7111;204;217;5032;5673;9311;9124;8999;25606;689;402;247;3146;10361;7547;3214;17765;1.42;11933;4835;1153;2.2;24403;5600;9630;5127;4046;185;58.6;25007;25913;35370;43.6;30.7;1.15;19506;3;9606;833;1220;647;141;306;125;10;312;300;57.1;12;2.3;16;3;186;1;297;0;-;0;0;0;0;2;1082;0;0;213147;8.3;174835;6.8;38312;1.5;2415;94.3;111;91.7;1;1;1;0;39;0;1;1;1;4;1;69;174;113;18;6;0;9.2;9;16;5.1;75.4
302;10563;421;747;633;933;3213;87;102;2418;2595;13484;3716;8023;11731;275;124;114;1633;4947;3219;1419;8786;1.33;6459;1939;425;2.2;11228;2773;4614;2364;1477;70;59.8;23157;23954;30536;37.8;28.6;1.13;9630;59;4655;433;175;23;101;41;11;2;116;116;57.4;-;-;11;5.4;71;2;263;2;640;1;25;1;186;1;430;0;0;103397;8.8;84297;7.2;19100;1.6;1232;105;46;101.5;0;0;1;1;21;1;1;0;0;2;1;22;45;56;15;9;0;6.6;9.7;13.7;5.3;74.7
303;10948;517;841;613;942;4320;135;118;2929;2283;5214;8857;6819;12306;615;441;205;1574;4437;3606;1428;7741;1.55;4726;2637;946;2.4;10647;3016;4307;2003;1321;112;54.8;21976;24229;33085;46.8;30.3;1.17;8303;34;4684;2339;1067;265;117;607;79;4;265;252;53.7;13;2.8;13;2.8;152;1;210;0;-;0;0;0;0;1;826;0;0;119572;9.7;98370;8;21202;1.7;1187;96.5;141;119.4;1;1;1;1;14;0;1;1;0;1;0;22;73;36;20;3;0;8;9.8;17;5.5;72.2
304;7048;285;1151;743;1093;2911;90;70;1277;1388;1978;5799;3637;8484;480;488;214;1023;1949;2947;1383;4561;1.83;2187;2021;849;2.5;7507;2486;2812;1370;839;124;53.1;20621;23095;37536;60.5;33;1.27;4809;23;2800;2261;1154;621;224;39;271;8;232;224;56.7;8;2;16;4.1;114;1;86;0;-;0;0;0;0;0;0;0;0;86206;10.2;71077;8.4;15129;1.8;1078;127.1;186;168.2;1;0;2;0;15;1;1;3;0;2;1;14;22;35;15;17;0;4.2;9;19.7;3.7;65.5
305;18133;1082;1219;872;1385;9146;281;186;3284;3180;3798;2008;2817;20434;1563;1492;563;2037;5337;6448;2994;10753;1.86;5289;5047;2568;2.6;17398;5090;6267;3174;2867;372;63;22347;25882;41287;58.1;31.4;1.24;11458;896;6196;4145;682;139;275;224;43;18;872;828;64.1;44;3.4;27;2.1;346;4;940;3;521;1;124;0;0;2;852;0;0;190037;9.3;157577;7.7;32460;1.6;1329;65;275;80;2;1;3;0;25;0;3;2;1;3;1;19;54;37;73;128;0;3.8;7.2;15.8;2.9;70.3
401;7449;376;759;470;789;3976;87;116;962;918;2089;928;1414;8584;514;582;243;662;1598;3139;1846;4858;1.75;2623;2101;1081;2.6;7690;3140;2401;1184;965;169;59.8;21676;24559;37879;61.1;34.9;1.39;5063;782;2973;2180;196;52;68;71;4;5;264;250;58.3;14;3.3;29;6.8;131;1;332;1;386;1;73;0;0;1;402;0;0;120354;14;105381;12.3;14973;1.7;1167;136;136;109;1;1;1;1;17;1;1;0;0;1;0;6;22;11;34;178;0;1.2;11.3;17.9;8.7;66.6
402;6139;281;167;118;221;3435;58;47;444;439;2876;661;1697;6587;497;779;296;353;855;2566;1241;2653;2.48;633;1988;1075;2.9;5505;1362;1316;1411;1416;273;83.6;32536;40298;81191;98.3;39.8;1.52;2786;2557;284;-;54;18;31;1;4;2;282;265;61.2;17;3.9;9;2.1;111;1;424;2;599;0;0;0;0;0;0;0;0;49422;7.5;40392;6.1;9030;1.4;78;11.8;34;23;0;0;0;0;5;0;1;1;0;1;0;6;12;3;1;18;0;1.6;4.7;10.6;4.1;72.8
403;8086;280;219;133;257;4810;79;34;622;618;959;81;454;8585;733;1216;513;453;1216;3595;859;3148;2.72;495;2651;1636;3;6724;1756;1707;1689;1572;413;74.8;30128;38532;82532;96.3;35.5;1.4;3262;3040;425;280;38;4;31;1;3;7;435;421;64.5;14;2.1;21;3.2;166;2;680;0;-;0;0;0;0;0;0;0;0;62086;7.2;50189;5.8;11897;1.4;229;26.7;70;30.7;1;1;2;0;7;0;1;1;0;0;0;7;7;1;283;394;0;0.4;4.6;20;4.8;74.3
404;12290;526;818;564;926;6195;144;110;1606;1625;3023;1453;1975;13634;964;1188;483;1124;2847;4803;2225;7008;1.94;3171;3633;1878;2.7;11983;3610;3806;2535;2032;372;65.1;25603;29844;49658;70.1;36.3;1.43;7335;1557;2832;1217;255;106;101;42;6;9;505;482;59;23;2.8;41;5;247;1;607;1;491;0;0;0;0;1;388;0;0;123805;9.1;101648;7.5;22157;1.6;1158;84.9;216;87.1;1;1;1;0;17;1;2;1;0;1;1;7;34;14;27;91;1;2.8;7;14.6;4.8;72.8
