102<009>Ullanlinnan peruspiiri - Ulrikasborgs distrikt;;;
Kok.;38.9;;
Vihreät;23.2;;
RKP;15.5;;
SDP;9.9;;
Kesk.;4.4;;
Vas.;4.0;;
PS;1.3;;
SKL;1.1;;
Muut;1.9;;
;;;
Äänestys-%;;78.5;
